Companies,Description,Industry,Country,Total Funding,Founded Year,Latest Funding Data,Latest Funding Round,Latest Funding Amount
Magento Commerce,"Magento Commerce is a provider of cloud commerce innovation to merchants and brands across B2C and B2B industries. In addition to its flagship, open source, digital commerce platform, Magento Commerce boasts a portfolio of cloud-based omni-channel solutions empowering merchants to successfully integrate digital and physical shopping experiences. Magento Commerce is supported by a global network of solution and technology partners, a global developer community and an eCommerce marketplace for extensions available for download on the Magento Marketplace.",eCommerce,United States,$272.50M,2008,01/04/2017,Private Equity,$250.00M
Alight Solutions,"Alight Solutions (NYSE: ALIT), formerly the outsourcing business of Aon, is a provider of benefits administration and cloud-based HR and financial solutions. The company enhances work and life through its service, technology, and data.",Internet Software & Services,United States,$274.14M,2018,01/25/2021,Corporate Minority,$250.00M
Traveloka,Traveloka is an online travel aggregator based in Indonesia. The company organizes travel-related information and help users navigate through a number of options and get value with ease.,Internet Software & Services,Indonesia,"$1,170.00M",2012,07/28/2020,Series D,$250.00M
Immobilien Scout 24,Immobilien Scout operates a German real estate portal.,Internet Software & Services,Germany,$250.00M,,01/02/2003,Corporate Minority,$250.00M
BitSight Technologies,"BitSight Technologies transforms how companies manage information security risk with objective security ratings through its Security Rating Platform that continuously analyzes external data on security behaviors, helping organizations to manage third-party risk, benchmark performance, and assess and negotiate cyber insurance premiums.",Internet Software & Services,United States,$397.00M,2011,09/13/2021,Corporate Minority,$250.00M
Netsmart Technologies,"Netsmart Technologies is an American company that develops and sells health information technology, including electronic health records, especially for organizations and entities in the behavioral health field.",Internet Software & Services,United States,$254.49M,1968,03/04/2015,Line of Credit,$250.00M
Tenable Network Security,"Tenable Network Security (NASDAQ: TENB) provides continuous network monitoring to identify vulnerabilities, reduce risk, ensure compliance and respond to threats. Tenable's family of products includes SecurityCenter Continuous View, which provides the most comprehensive and integrated view of network health, and Nessus, the global standard in detecting and assessing network data.",Computer Networking Equipment,United States,$301.55M,2002,11/10/2015,Series B,$250.00M
Farmers Business Network,"Farmers Business Network (FBN) allows farmers to anonymously share data about everything from seed performance to chemical pricing, harnessing the power of data science to help farmers make more informed decisions. FBN members receive comprehensive yield benchmarking, real world product performance analysis, and agronomic analytics based on real world data from the FBN community. The FBN Direct farm-commerce platform works with manufacturers to deliver substantially reduced input prices to members. FBN Direct's transparent pricing system has helped farmers realize savings of up to 50 percent on critical inputs.",Internet Software & Services,United States,$439.60M,2014,08/03/2020,Series F,$250.00M
Anjuke,"Anjuke is an online platform in China for buying, selling, and renting properties.",Internet Software & Services,China,$322.00M,,04/08/2021,Corporate Minority - II,$250.00M
Lazada,"Lazada is a Southeast Asia-focused ecommerce retailer offering a convenient, safe and fast shopping experience with brands and types to choose from, such as mobile phones, tablets and home appliances, toys and accessories.",eCommerce,Singapore,$762.50M,2012,11/30/2014,Series F,$250.00M
Devo,"Devo is a real-time big data-in-motion platform offering big data analytics through a solution that enables real-time analytics for operations, fraud, security, marketing, IoT, and other aspects of business.",Internet Software & Services,United States,$381.00M,2011,10/26/2021,Series E,$250.00M
GitHub,"GitHub is a social network to share code with friends, co-workers, classmates, and strangers. Users have access to free public repositories, collaborator management, issue tracking, wikis, downloads, code review, graphs and more. The hosted service GitHub.com is free for open source projects and according to much of the developer community, it has helped to improve open source collaboration.On October 26, 2018, GitHub was acquired by Microsoft at a valuation of $7.5B.",Internet Software & Services,United States,$350.00M,2008,07/29/2015,Series B,$250.00M
ivi,"ivi is an online video streaming site offering an extensive catalog of movies, shows and cartoons.",Internet Software & Services,Russian Federation,$383.64M,2010,05/26/2021,Series D,$250.00M
Zeta,"Zeta is a fintech company that helps banks and fintech firms launch products. Banks, which have licenses to offer financial services to customers, use Zeta’s cloud-native API and SDKs to launch credit cards, debit cards, loans etc to improve customer expeirence.",Internet Software & Services,United States,$273.00M,2015,05/24/2021,Series C,$250.00M
Alchemy,Alchemy is a developer platform that empowers companies to build scalable and reliable decentralized applications without the hassle of managing blockchain infrastructure in-house. Alchemy provides developers with the fundamental building blocks they need to create the future of technology.,Internet Software & Services,United States,$345.00M,2017,10/28/2021,Series C,$250.00M
Papaya Global,Papaya Global provides an automated technology that manages global workforces and international payroll across many countries.,Internet Software & Services,United States,$438.00M,2016,09/13/2021,Series D,$250.00M
Bungalo,Bungalo offers buyers the ability to seek out and then finance a home online.,Internet Software & Services,United States,$250.00M,2018,09/18/2018,Seed,$250.00M
Tekion,Tekion provides a cloud platform that offers automotive retail technology. Tekion services car dealerships across the United States.,Internet Software & Services,United States,$400.00M,2016,10/05/2021,Series D,$250.00M
17zuoye,17zuoye (NASDAQ: YQ) focuses on providing services and products for primary mathematics and English learning for students K-12.,Internet Software & Services,China,$385.00M,2011,03/07/2018,Series E,$250.00M
LonDian,"LonDian engages in the development of power equipment, new energy, and new materials.",Electrical Products,China,$250.00M,,04/16/2019,Corporate Minority,$250.00M
Tencent Trusted Doctors,"Tencent Trusted Doctors, formed by the merger of Tencent Doctorwork and Xingren, offers an online-and-offline medical network in China. The company provides online consulting services for patients, doctor service platforms, institutional message management system, offline hardware and clinics, and more.",Internet Software & Services,China,$250.00M,2018,04/24/2019,Series A,$250.00M
Priority Software,"Priority Software provides flexible, end-to-end business management solutions for organizations of all sizes - from accounting software for small businesses to a full-featured ERP platform serving multi-national corporations. Priority improves business efficiency and the customer experience, providing real-time access to business data and insights in the cloud, on-premise and on-the-go.",Collaboration & Project Management Software,Israel,$250.00M,1986,10/05/2020,Private Equity,$250.00M
Melio,Melio offers a digital platform that allows users to pay vendors by bank transfer or credit/debit card. It provides a free online platform that aims to help small businesses and their suppliers to receive and transfer payments faster and easier.,Internet Software & Services,United States,$504.00M,2018,09/14/2021,Series D,$250.00M
Forward Financing,"Forward Financing is a Boston-based financial technology company that provides fast, flexible working capital to small businesses nationwide. Forward’s account representatives and proprietary technology help customers spend less time finding capital and more time growing their businesses. With a simple online application, business owners can trust that Forward Financing works to get them approvals within minutes, funding within hours, and personalized support when they need it most.",Internet Software & Services,United States,$340.00M,2012,05/27/2021,Line of Credit - II,$250.00M
Acronis,"Acronis provides backup, disaster recovery, and secure file sharing and file access solutions. It offers complete, efficient and reliable backup solutions for desktop, server, virtual and cloud environments as well as leading file sharing and sync solutions for mobile devices.",IT Services,Switzerland,$427.51M,2003,05/04/2021,Private Equity,$250.00M
