Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
Airbnb,IPO,"$3,490.00M",12/10/2020,N/A,"Airbnb (NASDAQ: ABNB) is a community marketplace for people to list, discover, and book accommodations around the world online or from a mobile phone. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to travel experiences, at any price point.",eCommerce,United States,"$6,625.65M",N/A
DoorDash,IPO,"$3,370.00M",12/08/2020,N/A,"DoorDash (NYSE: DASH) is an on-demand delivery service that connects customers with local businesses. Through the DoorDash marketplace, people can purchase goods from local merchants and have them delivered in less than 45 minutes - thanks to its logistics technology.",eCommerce,United States,"$2,471.72M",N/A
Snowflake Computing,IPO,"$3,360.00M",09/16/2020,N/A,Snowflake Computing (NYSE: SNOW) provides a cloud data warehouse enabling enterprises to access structured and semi-structured data.,Internet Software & Services,United States,"$1,386.79M",N/A
"K
Ke Holdings",IPO,"$2,120.00M",08/13/2020,N/A,Ke Holdings (NYSE: BEKE) is an online real estate platform that offers brokerage and financial services for Chinese renters and homebuyers.,Internet Software & Services,China,"$2,700.00M",N/A
"M
Manbang Group",Series A,"$1,690.00M",11/20/2020,N/A,Manbang Group (NYSE: YMM) is an internet logistics company that is formed by the merger between Yunmanman and Huochebang.,Internet Software & Services,China,"$3,690.00M",N/A
"Z
Zuoyebang",Series E - II,"$1,600.00M",12/28/2020,N/A,"Zuoyebang is an online education company that provides study platforms and services targeting K-12 students. The platform is a comprehensive study tool for school work search, efficient practice, learning, and discussion.",Internet Software & Services,China,"$3,435.00M",N/A
"K
Ke Holdings",Series D - II,"$1,500.00M",03/04/2020,N/A,Ke Holdings (NYSE: BEKE) is an online real estate platform that offers brokerage and financial services for Chinese renters and homebuyers.,Internet Software & Services,China,"$2,700.00M",N/A
The Hut Group,IPO,"$1,200.00M",09/16/2020,N/A,"The Hut Group is a United Kingdom-based e-commerce company specializing in health, beauty, fitness, and lifestyle.",eCommerce,United Kingdom,"$4,200.76M",N/A
"L
Lu.com",IPO,"$1,181.25M",10/30/2020,N/A,Lu.com (NYSE:LU) is an Internet wealth management company that operates online lending platforms. Lu.com provides financing and lending services for small and medium enterprises and individual clients.,Internet Software & Services,China,"$4,321.00M",N/A
GoodRx,IPO,"$1,139.08M",09/23/2020,N/A,"GoodRx (NASDAQ: GDRX) provides health consumers with convenient, affordable prescription drugs through a platform that offers a list and map of prices by brand name and generic versions from both local and mail-order pharmacies. The company also offers information on manufacturer discount cards and ways to save with coupons, price-matching, pharmacy discount plans, and more.",Internet Software & Services,United States,$1.00M,N/A
"W
Wish",IPO,"$1,104.00M",12/16/2020,N/A,"Wish (NASDAQ: WISH) is an e-commerce platform putting a digital shopping mall of affordable goods directly in the pockets of consumers worldwide. Wish employs big data principles, machine learning, and search technologies to create a highly-visual and personalized browsing experience for each user.",eCommerce,United States,"$1,768.70M",N/A
"Z
Ziroom",Series C,"$1,000.00M",03/04/2020,N/A,"Ziroom is a rental services company that enables users to rent rooms, apartments, and more online.",Internet Software & Services,China,"$2,121.00M",N/A
Ozon.ru,IPO,$990.00M,11/24/2020,N/A,"Ozon.ru is a Russian online retailer that operates e-commerce companies in Russia: Ozon.ru, a multi-category online shop in Russia; Sapato.ru, an e-commerce store of shoes, accessories and apparel; OZON.travel, a Russian online travel agency; О-Courier, Ozon's dedicated delivery service operating a network of companies and agents across Russia and Kazakhstan; and Ozon Solutions, a B2B consultancy, which helps businesses to succeed in the e-commerce.",eCommerce,Russian Federation,$763.98M,N/A
ZoomInfo,IPO,$934.50M,06/04/2020,N/A,"ZoomInfo (NASDAQ:ZI) is a sales and marketing intelligence tool used by technology vendors, staffing companies and consultants targeting IT, Finance, Marketing, Engineering, Technology and Product Development departments of Fortune-­ranked, Mid­Market, and SMB companies in North America and Europe. Offered in the form of a constantly refreshed database, the solution specializes in mapping out the org charts, including verified email addresses, direct-dial phone numbers, reporting structure, new projects & initiatives, and technology installed base.",Internet Software & Services,United States,,N/A
GoHealth,IPO,$913.00M,07/15/2020,N/A,"GoHealth (NASDAQ: GOCO) is an online portal for finding health insurance coverage. The company helps consumers compare health insurance quotes and purchase individual coverage online, through agent networks, or directly through a health insurance company.",eCommerce,United States,$54.80M,N/A
"Y
Yunwang Wandian",Series A,$912.07M,11/30/2020,N/A,"Yunwang Wandian is a subsidiary of Suning.com that provides e-commerce and retail cloud services to customers, retailers, suppliers, and more.",Internet Software & Services,China,$912.07M,N/A
"J
JD Health",Series B,$830.00M,08/17/2020,N/A,"JD Health (06618.HK) is an e-commerce platform for pharmaceutical products such as vitamins and supplements, medical supplies, contact lenses, adult products, traditional medicine, and more. It is the healthcare subsidiary of JD.com.",eCommerce,China,"$1,830.00M",N/A
OYO Rooms,Series F,$806.75M,03/17/2020,N/A,"OYO Rooms operates a virtual hospitality brand in India by aggregating hotels/guesthouses in the economy segment, making inventory discoverable and bookable online, and providing a standardized and trusted experience to travelers. By running a managed marketplace of properties under its own brand, Oyo matches the supply of economy rooms in India with online/mobile demand.",eCommerce,India,"$3,113.68M",N/A
"X
Xingsheng Selected",Series C - II,$800.00M,07/22/2020,N/A,"Xingsheng Selected, also Xingsheng Youxuan, is a fresh produce chain that operates small stores in neighborhoods. The company operates a group-buying community e-commerce platform under Furong Xingsheng.",eCommerce,China,"$5,040.00M",N/A
"M
Mingyuanyun",IPO,$796.68M,09/23/2020,N/A,Mingyuanyun (0909.HK) provides intelligent business solutions and management systems for real estate companies.,Internet Software & Services,China,$2.95M,N/A
"Q
Qi An Xin",IPO,$770.85M,07/22/2020,N/A,"Qi An Xin (688561.SH) provides network security technology, products, and services for government, military, enterprise, education, finance, and other institutions and organizations.",Internet Software & Services,China,$860.88M,N/A
