Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
"A
Ant Group",Series C,"$14,000.00M",05/29/2018,N/A,"Ant Group is a technology company that offers financial services, serving small and micro enterprises and consumers. Ant Group is dedicated to building an open ecosystem of technologies while working with other financial institutions to support the future financial needs of society. The company's products include Alipay, a payment and lifestyle platform, Ant Fortune, a comprehensive wealth management app, and Zhima Credit, an independent, private, alternative credit service.",Internet Software & Services,China,"$19,144.67M",N/A
Spotify,IPO,"$7,356.56M",04/03/2018,N/A,"Spotify is a digital music-streaming service that provides on-demand access to songs on devices, computers, mobiles, tablets, and home entertainment systems. Its services allow subscribers to search and discover music collections of friends, artists, and celebrities; build a personal collection playlist; and share music on Spotify, Facebook, Twitter, blogs, and via email with friends. The company also allows artists to post tracks on social networks, share them with fans, and promote their career. In addition, it provides advertising services.",Internet Software & Services,Sweden,"$2,272.56M",N/A
"M
Meituan Dianping",IPO,"$4,200.00M",09/20/2018,N/A,Meituan Dianping (SEHK: 3690) was formed by the merger of Meituan (美团) and Dianping (大众点评). Meituan is a China-based group discount platform. Dianping is a Chinese location-based dining information and group-buying website.,eCommerce,China,"$7,300.00M",N/A
PagSeguro,IPO,"$2,265.79M",01/25/2018,N/A,"PagSeguro, formerly BRPay, offers a complete and safe way to buy and sell both on and off the internet.",Internet Software & Services,Brazil,,N/A
iQIYI,IPO,"$2,250.00M",03/28/2018,N/A,"iQIYI, formerly QIYI, is an advertising-supported online television and movie portal that focuses on fully licensed, high-definition, professionally produced content.",Internet Software & Services,China,"$1,830.00M",N/A
"P
Pinduoduo",IPO,"$1,626.40M",07/26/2018,N/A,"Pinduoduo (NASDAQ: PDD) is a social eCommerce platform that enables users to participate in group buying deals with their friends, mostly via third-party channels such as Tencent's WeChat app. Users can share ideas about what they like, get feedback from friends, and buy items at lower prices if they purchase in groups. The Company provides deals in various segments, including food, apparel & accessories, cosmetics, electronics and appliances, and baby products.",eCommerce,China,$110.00M,N/A
"V
Vinhomes",IPO,"$1,350.00M",05/10/2018,N/A,"Vinhomes is a real estate management company based in Hanoi, Vietnam, specializing in residential properties.",Internet Software & Services,Vietnam,,N/A
"L
Lu.com",Series C,"$1,330.00M",12/04/2018,N/A,Lu.com (NYSE:LU) is an Internet wealth management company that operates online lending platforms. Lu.com provides financing and lending services for small and medium enterprises and individual clients.,Internet Software & Services,China,"$4,321.00M",N/A
"S
StoneCo",IPO,"$1,217.39M",10/25/2018,N/A,"StoneCo (aka Stone) is a Brazilian fintech company that facilitates e-commerce transactions in-store, online, and on mobile channels.",Internet Software & Services,Brazil,,N/A
"P
Ping An HealthKonnect",Series A,"$1,150.00M",02/03/2018,N/A,"Ping An HealthKonnect provides systems, services, and data empowerment for medical insurance, commercial insurance and hospitals, doctors, and medicine.",Internet Software & Services,China,,N/A
Adyen,IPO,"$1,100.00M",06/12/2018,N/A,"Adyen provides an internet payment system for international merchants. The company helps merchants accept payments from consumers and the company focuses on maximizing payment conversion and excellent reporting. Adyen supports relevant payment methods across Europe, USA, Asia and Latin America and continues to expand.",Internet Software & Services,Netherlands,$266.00M,N/A
Tokopedia,Series G,"$1,100.00M",12/12/2018,N/A,"Tokopedia is an Indonesian-based online mall that brings together buyers and sellers to allow online transactions securely and comfortably.On April 16, 2021, Tokopedia merged with Gojek to form GoTo.",eCommerce,Indonesia,"$3,297.70M",N/A
"T
Tencent Music Entertainment Group",IPO,"$1,066.00M",12/12/2018,N/A,"Tencent Music Entertainment Group (NYSE:TME) is an online music entertainment platform. Its platform comprises its online music, online karaoke, and music-centric live streaming services, supported by the company's content offerings, technology, and data. Tencent Music was formed after a merger between Chinese QQMusic and copyright redistributer China Music Corporation.",Internet Software & Services,China,$200.00M,N/A
Swiggy,Series H,"$1,000.00M",12/20/2018,N/A,Swiggy is a Bangalore-based food ordering app. The company partners with restaurants to offer users food ordering and delivery services. The company has its own fleet of delivery personnel who pick-up orders from restaurants and deliver it to customers. The on field team is loaded with a smart phone app that has a routing algorithm which facilitates timely delivery.,eCommerce,India,"$2,871.00M",N/A
OYO Rooms,Series E,$900.00M,09/25/2018,N/A,"OYO Rooms operates a virtual hospitality brand in India by aggregating hotels/guesthouses in the economy segment, making inventory discoverable and bookable online, and providing a standardized and trusted experience to travelers. By running a managed marketplace of properties under its own brand, Oyo matches the supply of economy rooms in India with online/mobile demand.",eCommerce,India,"$3,113.68M",N/A
GreenSky,IPO,$874.00M,05/24/2018,N/A,"GreenSky operates in the consumer finance marketplace, specializing in the home improvement, retail, and healthcare industries offering BNPL (buy now, pay later) services. Utilizing the GreenSky brand, GS works with federally insured, federal, and state-chartered financial institutions that provide loans to customers of the merchants across all 50 states. GS services the funding participants' portfolios through an exceptional loan servicing organization, which is SSAE 16 Type II compliant.",Internet Software & Services,United States,$610.00M,N/A
"C
Chehaoduo",Series C,$818.00M,01/24/2018,N/A,"Chehaoduo is the operator of Guazi, an online C2C used-car trading platform, and Maodou, a new car eCommerce platform.",eCommerce,China,"$4,304.03M",N/A
Dropbox,IPO,$756.00M,03/23/2018,N/A,"Dropbox, founded by Drew Houston and Arash Ferdowsi (MIT engineers) in 2007, is a cross-platform cloud storage solution, with support for Windows, Mac OS X, and Linux. Files in a user's Dropbox folder are continuously kept in sync between the user's computers and securely backed up online. Folders in the Dropbox can also be shared with others, causing many businesses to abandon traditional network drives and VPNs.",Internet Software & Services,United States,"$1,707.22M",N/A
Farfetch,IPO,$752.13M,09/21/2018,N/A,"Farfetch (NYSE:FTCH) is a global community of fashion boutiques that offers an inspirational shopping experience to fashion-forward consumers. The independent boutiques within the community have been carefully selected for their forward-thinking attitude, unique approach to merchandising and diversity of brands.",eCommerce,United Kingdom,$701.50M,N/A
"O
OneConnect",Series A,$650.00M,01/16/2018,N/A,"OneConnect (NYSE:OCFT) develops a financial account management platform that provides online banking-level security account certification services for small and medium-sized enterprises, helping them to realize fast customer acquisition and precision marketing. The company's one-stop and all-rounded self-service platform provides segments such as smart bank cloud, smart insurance cloud, smart big data cloud, smart corporate cloud, AI+, developer center, and demo experience.",Internet Software & Services,China,$650.00M,N/A
"D
DouYu",Series E,$630.00M,03/08/2018,N/A,"DouYu (NASDAQ: DOYU), is a video game-centric live streaming platform in China. DouYu operates its platform on both PC and mobile apps, through which users can enjoy immersive and interactive games and entertainment live streaming. DouYu's platform brings together a deep pool of live streamers. By providing a sustainable streamer development system built on advanced technology infrastructure and capabilities, DouYu helps ensure a consistent supply of quality content. Through collaborations with a variety of participants across the eSports value chain, the Company has gained access to a wide variety of premium eSports content, which further attracts viewers and enhances user experience.",Internet Software & Services,China,$976.00M,N/A
DocuSign,IPO,$629.30M,04/27/2018,N/A,"DocuSign (NASDAQ: DOCU) offers a DTM platform that supports legally compliant, electronic and digital signature processes tailored to meet global requirements with localization in 43 languages. Global enterprises, business departments, individual professionals, and consumers have standardized on DocuSign to accelerate transaction times to increase speed to results, reduce costs, increase security and compliance, and please customers across nearly every industry – from financial services, insurance, technology, healthcare, manufacturing, communications, real estate, retail, and consumer goods to higher education, non-profit and others – as well as every business department, including sales, finance, operations, procurement, HR/staffing, legal, and customer support.",Internet Software & Services,United States,$513.43M,N/A
"Z
Ziroom",Series A,$621.00M,01/17/2018,N/A,"Ziroom is a rental services company that enables users to rent rooms, apartments, and more online.",Internet Software & Services,China,"$2,121.00M",N/A
"N
NetEase Cloud Music",Series B,$600.00M,10/12/2018,N/A,NetEase Cloud Music (09899.HK) is an online freemium music streaming application that lets users stream music and download songs to any device.,Internet Software & Services,Hong Kong,"$1,508.00M",N/A
"S
SouChe Holdings",Series F,$578.00M,09/03/2018,N/A,"SouChe Holdings is a C2C platform allowing used-car sellers to dictate their own prices, with revenue generated from commissions charged on individual transactions. Its SaaS products, which include DaFengChe, CheNiu and Chehang168, connect used car dealers to small and large new car dealers in China.",eCommerce,China,"$1,282.21M",N/A
Pivotal Software,IPO,$555.00M,04/20/2018,N/A,"Pivotal Software is a cloud-software company which provides tools that make it easier for developers to build software.On December 30, 2019, Pivotal Software was acquired by VMware at a valuation of $2.7B.",Internet Software & Services,United States,$758.00M,N/A
